"","School.Name","County.x","Urban.Rural","Classification","X19.21.Difference.in.Math","X19.21.Difference.in.English","All.Students.English.Achievement","All.Students.Math.Achievement","X2021.All.Students.English.Achievement","X2021.All.Students.Math.Achievement","American.Indian.Alaskan.English.Achievement","American.Indian.Alaskan.Math.Achievement","Asian.Pacific.Islander.English.Achievement","Asian.Pacific.Islander.Math.Achievement","Black.English.Achievement","Black.Math.Achievement","Economically.Disadvantaged.English.Achievement","Economically.Disadvantaged.Math.Achievement","Hispanic.English.Achievement","Hispanic.Math.Achievement","White.English.Achievement","White.Math.Achievement","Students.With.Disability.English.Achievement","Students.With.Disability.Math.Achievement","X2021.American.Indian.Alaskan.English.Achievement","X2021.American.Indian.Alaskan.Math.Achievement","X2021.Asian.Pacific.Islander.English.Achievement","X2021.Asian.Pacific.Islander.Math.Achievement","X2021.Black.English.Achievement","X2021.Black.Math.Achievement","X2021.Economically.Disadvantaged.English.Achievement","X2021.Economically.Disadvantaged.Math.Achievement","X2021.Hispanic.English.Achievement","X2021.Hispanic.Math.Achievement","X2021.White.English.Achievement","X2021.White.Math.Achievement","X2021.Students.With.Disability.English.Achievement","X2021.Students.With.Disability.Math.Achievement","County.y","BS","MS","S","phd","Total","Post.Grad.Percentage","Total.Students.Enrolled","Teacher.Student.Ratio","White.Percentage","Black.Percentage","Econ.Disadvantaged.Percentage","County","Avg..Annual.Salaries.Administrators","Avg..Annual.Salaries.Teachers","Avg..Annual.Salaries.Support.Personnel","Absent...5D.Percentage","Absent.6D.15D.Percentage","Absent..15D.Percentage","id","amount","school_ppe_21","direct_cert_perc","mobility","ENROLL_PCT_GIFTED","u.r_dummy","growth.rate.math"
"1006","Lake Park Elementary School","Dougherty County","Urban","E",3.97,-0.680000000000007,72.68,77.65,72,81.62,0,0,0,0,55.15,65.44,63.26,70.67,82.61,73.91,77.59,82.52,38.55,45.83,0,0,0,0,43.33,58.15,72,81.62,63.05,78.25,79.27,85.68,35.42,50.01,"Dougherty County",32,33,18,0,83,0.614457831325301,679,8.18072289156627,67.3,18.1,100,"Dougherty County",174278.97,114176.88,129930.11,47.7,44.8,7.5,1,3973427.5,12607.509765625,41,9.9,18.6,1,3.97
"1007","Lake Ridge Elementary School","Clayton County","Urban","E",-22.08,-19.81,49.25,47.32,29.44,25.24,0,0,0,0,50.01,45.52,49.25,47.32,47.41,51.29,0,0,20.94,24.6,0,0,0,0,31.34,24.26,29.44,25.24,25.81,26.67,0,0,0,0,"Clayton County",16,18,6,0,40,0.6,591,14.775,0.8,68.5,100,"Clayton County",110060,56505.39,73237,46.9,28.8,24.4,1,4557636.22,10630.5703125,58.9000015258789,7.6,3.3,1,-22.08
"1008","Lake Windward Elementary School","Fulton County","Urban","E",-100,-100,100,100,0,0,0,0,100,100,81.08,87.85,87.51,96.43,100,100,100,100,67.88,80.86,0,0,0,0,69.65,80.36,72.22,80.56,87.5,91.67,0,0,59.22,73.68,"Fulton County",29,26,1,1,57,0.491228070175439,754,13.2280701754386,37.5,11.3,6.8,"Fulton County",92269.22,61007.08,80508.59,73.6,19,7.4,1,7928575.36,13233.4404296875,3.5,9.6,8.2,1,-100
"1009","Lakeside High School","Columbia County","Urban","H",-14.93,8.55,79.72,65.42,88.27,50.49,0,0,93.24,97.9,71.17,51.17,57.71,43.59,56.03,41.8,100,96.44,51.84,35.64,0,0,0,84.79,97.5,38.1,98.39,33.34,76.78,26.47,89.21,74.4,32.5,32,"Columbia County",45,127,45,12,229,0.803493449781659,2213,9.66375545851528,30.9,21,35.3,"Columbia County",207207.46,132488.39,149862.63,86.2,8.6,5.2,1,12944322.08,7863.97021484375,11.1999998092651,7,18.4,1,-14.93
"1010","Lakeside Middle School","Columbia County","Urban","M",-5.59,-10.97,100,100,89.03,94.41,0,0,100,100,70.28,81.08,72.81,83.98,85.5,99,98.78,100,69.27,77.06,0,0,77.5,80,82.7,74.99,56.25,60.27,59.82,60.2,76.85,84.47,42.41,48.21,"Columbia County",30,41,37,1,109,0.724770642201835,1261,11.5688073394495,48.5,3.3,8.8,"Columbia County",183425.5,131174.53,123383.5,58.9,28.1,13,1,5190268.98,10089.080078125,23.3999996185303,8.6,11.5,1,-5.59
"1011","Lakeview Academy","Baldwin County","Rural","E",-14.27,-11.41,50.61,58.41,39.2,44.14,0,0,100,100,39.96,49.06,50.61,58.41,52.19,52.19,69.23,74.56,21.96,29.44,0,0,0,0,27.78,32.52,39.2,44.14,22,32,56.73,61.19,25.01,25.62,"Baldwin County",11,18,1,1,31,0.645161290322581,684,22.0645161290323,28.7,59.1,100,"Baldwin County",99425.24,52704.15,55749.5,46.1,35.1,18.9,1,4772289.18,10191.830078125,55.7000007629395,12.6,10.5,0,-14.27
"1012","Lakeview Middle School","Catoosa County","Urban","M",-20.33,-8.81,60.19,68.78,51.38,48.45,0,0,80.45,97.83,44.68,50.01,53.22,60.86,52.68,67.85,61.25,69.5,22.82,32.2,0,0,0,0,41.68,37.5,45.29,42.98,41.11,42.22,53.18,49.24,18.55,22.18,"Catoosa County",18,25,18,0,61,0.704918032786885,838,13.7377049180328,77.2,6.1,75.5,"Catoosa County",95037.57,58668.89,57295.22,58.7,31.5,9.8,1,7051898.78000001,10611.73046875,42.4000015258789,11.2,12.1,1,-20.33
"1013","Lakeview Primary","Baldwin County","Rural","E",-28.12,-23.6,48.22,64.88,24.62,36.76,0,0,0,0,31.73,48.93,48.22,64.88,0,0,65.39,82.31,21.88,37.51,0,0,0,0,17.69,27.44,24.62,36.76,0,0,46.67,65.01,10.42,16.67,"Baldwin County",19,22,9,0,50,0.62,713,14.26,31,55,100,"Baldwin County",96444.83,55778.79,71901.67,43.1,34.6,22.3,1,5433726.81,10882.91015625,53.5999984741211,11,3.9,0,-28.12
"1014","Lakeview-Fort Oglethorpe High School","Catoosa County","Urban","H",-29.73,-9.6,66.34,62.26,56.74,32.53,0,0,27.78,63.64,46.97,52.76,59.44,58.04,57.35,59.09,70.53,62.4,28.01,28.38,0,0,0,0,0,11.11,46.64,30.16,71.88,36.67,58.24,32.6,23.61,19.52,"Catoosa County",20,26,19,3,68,0.705882352941177,1073,15.7794117647059,79.1,7,65.5,"Catoosa County",91269.75,59003.28,76137.45,60.5,26.2,13.3,1,9407508.73000001,10652.4697265625,32.7000007629395,8.9,13.2,1,-29.73
"1015","Lamar - Milledge Elementary School","Richmond County","Urban","E",-11.44,-11.31,35.36,35.68,24.05,24.24,0,0,0,0,35.62,34.18,35.36,35.68,0,0,0,0,15.52,13.8,0,0,0,0,24.56,22.37,24.05,24.24,0,0,0,0,10.87,11.37,"Richmond County",10,13,6,0,29,0.655172413793103,373,12.8620689655172,4.8,90.1,100,"Richmond County",81891.5,55862.13,61207.97,35.9,39.7,24.4,1,3185224.46,13159.919921875,85.5999984741211,29.8,6.6,1,-11.44
"1016","Lamar County Elementary School","Lamar County","Urban","E",-23.1,-15.78,59.12,68.93,43.34,45.83,0,0,0,0,43.66,57.36,59.12,68.93,0,0,68.25,74.92,45.91,44.27,0,0,0,0,26.8,32.04,43.34,45.83,0,0,51.8,52.98,25.01,29.17,"Lamar County",15,17,8,0,40,0.625,653,16.325,60.8,30.8,100,"Lamar County",91859.75,54865.21,69449.84,56,34.3,9.6,1,4824094.95,9532,46.2000007629395,17.5,10.6,1,-23.1
"1017","Lamar County High School","Lamar County","Urban","H",-9.99,-13.2,66.75,47.69,53.55,37.7,0,0,0,0,46.84,34.06,55.69,40.63,0,0,77.28,53.36,29.55,14.45,0,0,0,0,27.89,20.76,36.49,28.28,0,0,63.17,44.17,0,10.42,"Lamar County",23,20,6,2,51,0.549019607843137,850,16.6666666666667,63.4,27.8,42.9,"Lamar County",88911.38,55672.29,68476.91,77.2,17.5,5.3,1,6297172.41,9300.0302734375,31.2999992370605,13.5,10.6,1,-9.99
"1018","Lamar County Middle School","Lamar County","Urban","M",-7.65,-1.4,55.01,51.79,53.61,44.14,0,0,0,0,43.71,40.28,45.79,43.19,32.7,46.16,61.37,56.83,32.53,31.94,0,0,0,0,37.15,32.18,45.15,39.97,47.74,38.64,62.84,50.16,36.49,31.76,"Lamar County",11,15,8,3,37,0.702702702702703,651,17.5945945945946,57.1,31.8,52.8,"Lamar County",72412.26,55985.7,72494.96,62.4,28.3,9.4,1,4913983.09,9580.01953125,39.7000007629395,11.9,11.1,1,-7.65
"1019","Lamar County Primary School","Lamar County","Urban","E",-23.26,-20.43,59.52,78.22,39.09,54.96,0,0,0,0,39.43,65.4,59.52,78.22,0,0,70.32,84.37,0,0,0,0,0,0,21.28,36.17,39.09,54.96,0,0,51.17,66.48,18,30,"Lamar County",23,19,3,1,46,0.5,652,14.1739130434783,59.8,30.2,100,"Lamar County",86989.21,53742.6,55853.76,60,35.9,4.1,1,5119221.33,10187.240234375,46.5,17.3,2.1,1,-23.26
"1020","Lamar Reese School of the Arts","Dougherty County","Urban","E",-28.31,-23.02,51.38,61.96,28.36,33.65,0,0,0,0,51.19,61.71,51.38,61.96,0,0,0,0,0,0,0,0,0,0,28.93,33.82,28.36,33.65,0,0,0,0,0,0,"Dougherty County",14,11,6,0,31,0.548387096774194,409,13.1935483870968,1,97.8,100,"Dougherty County",90952.5,52965.86,66162.6,100,0,0,1,3465603.82,12637.7998046875,74.0999984741211,2.5,6.9,1,-28.31
"1021","Lambert High School","Forsyth County","Urban","H",-23.71,-100,100,100,0,76.29,0,0,100,100,98.05,85.2,90,98.04,100,100,100,100,70.38,67.31,0,0,0,88.89,0,0,0,0,0,0,0,72.73,0,0,"Forsyth County",41,76,32,4,153,0.73202614379085,2975,19.4444444444444,47.2,3.9,3.4,"Forsyth County",99306.5,63461.85,62526.15,63.1,27.1,9.8,1,20003762.08,8073.39013671875,1.60000002384186,2.3,26.1,1,-23.71
"1022","Lane Elementary School","Bibb County","Urban","E",-26.97,-32.93,56.73,46.63,23.8,19.66,0,0,0,0,53.64,42.11,56.73,46.63,0,0,0,0,28.95,31.58,0,0,0,0,22.69,16.39,23.8,19.66,0,0,0,0,28.13,28.13,"Bibb County",15,11,5,0,31,0.516129032258065,481,15.5161290322581,7.7,79,100,"Bibb County",88946.82,55438.59,69127.33,23.3,37.4,39.3,1,3600311.38,11293.5400390625,60.9000015258789,23.7,1.2,1,-26.97
"1023","Laney High School","Richmond County","Urban","H",-14.86,-34.02,54.85,28.37,20.83,13.51,0,0,0,0,53.52,28.05,54.85,28.37,0,0,0,0,10.72,0,0,0,0,0,20,12.69,20.83,13.51,0,0,0,0,0,2.94,"Richmond County",15,13,9,1,38,0.605263157894737,696,18.3157894736842,2.6,93.4,100,"Richmond County",94307,50463.64,62284.75,65.7,15.5,18.8,1,4514263.65,10068.2802734375,63.0999984741211,15.2,NA,1,-14.86
"1024","Langford Middle School","Richmond County","Urban","M",-14.2,-7.41,39.74,31.56,32.33,17.36,0,0,66.67,60.01,37.81,29.43,39.74,31.56,50,52.09,46.17,34.62,16.83,16.82,0,0,0,0,29.46,14.67,32.33,17.36,33.34,23.34,41.67,31.25,9.37,5.88,"Richmond County",22,14,6,2,44,0.5,730,16.5909090909091,8.9,82.1,100,"Richmond County",85186.25,49770.08,71400.6,67.5,21.1,11.4,1,4365922.62,9748.419921875,61.7999992370605,15.5,3.3,1,-14.2
"1025","Langston Chapel Elementary School","Bulloch County","Rural","E",-11.4,-11.8,40.37,49.6,28.57,38.2,0,0,0,0,34.54,41.79,37.61,46.52,47.78,62.23,51.96,63.72,19.29,20.17,0,0,0,0,21.97,27.87,28.57,38.2,35.23,46.59,33.33,53.84,6.67,14.45,"Bulloch County",21,18,8,4,51,0.588235294117647,723,14.1764705882353,19.5,57.5,100,"Bulloch County",76992.11,58046.24,61791.59,49.5,32.4,18.1,1,5957214.37,11286.2802734375,69.9000015258789,37.2,2.7,0,-11.4
"1026","Langston Chapel Middle School","Bulloch County","Rural","M",-18.47,-5.3,50.6,53.33,45.3,34.86,0,0,0,0,40.25,42.23,43.7,46.25,61.54,63.08,75,79.41,14.25,17.34,0,0,0,0,34.9,24.68,45.3,34.86,53.62,35.51,69.54,63.2,13.59,11.76,"Bulloch County",21,24,5,3,53,0.60377358490566,935,17.6415094339623,21.4,64.3,100,"Bulloch County",78523.79,54122.53,64178.03,49.1,32,18.9,1,5980437.8,9073.669921875,60.0999984741211,31.7,8,0,-18.47
"1027","Langston Hughes High School","Fulton County","Urban","H",-7.22,16.08,55.15,26.64,71.23,19.42,0,0,0,0,53.8,25.13,52.52,25.36,65.75,38.79,0,0,23.41,12.82,0,0,0,0,67.91,17.21,68.88,18.18,0,0,0,0,0,31.58,"Fulton County",33,61,23,6,123,0.731707317073171,2083,16.9349593495935,0.9,86.7,65.9,"Fulton County",93356.01,65455.37,77326.3,12.9,22,65.1,1,17898148.93,11760.169921875,42.5999984741211,13.5,4.1,1,-7.22
"1028","Langston Road Elementary School","Houston County","Urban","E",-2.26,-11.4,84.35,86.54,72.95,84.28,0,0,0,0,65.12,70.94,73.87,74.15,98.33,95.02,89.08,90.48,56.49,62.05,0,0,0,0,56.81,62.14,60.17,73.09,79.31,98.27,78.32,91.15,42,62,"Houston County",16,21,14,0,51,0.686274509803922,878,17.2156862745098,58,25.5,44.2,"Houston County",101755.47,64594.58,69592.47,38.5,44.3,17.2,1,7169179.33,10885.25,18.5,12.7,8.8,1,-2.26
"1029","Lanier College and Career Academy","Hall County","Urban","H",-13.89,-5.92,25.53,13.89,19.61,0,0,0,0,0,0,0,25.01,16.21,17.08,11.77,34.1,18.2,5.56,2,0,0,0,0,0,0,13.64,0,11.37,0,28,0,0,0,"Hall County",6,8,8,1,23,0.739130434782609,254,11.0434782608696,50,9.1,39.8,"Hall County",104964,63137.05,74562.57,18.9,24.8,56.3,1,3946683.86,20980.439453125,24.8999996185303,39.6,NA,1,-13.89
"1030","Lanier County Elementary School","Lanier County","Urban","E",-8,-11.29,71.41,75.05,60.12,67.05,0,0,0,0,50.9,56.24,71.41,75.05,70.7,77.58,80.36,82.11,45.66,57.97,0,0,0,0,35.81,45.27,60.12,67.05,55.18,56.9,66.05,74.19,33.02,41.51,"Lanier County",9,17,6,0,32,0.71875,415,12.96875,62.2,21.4,100,"Lanier County",68617.12,56448.75,65097.94,51.8,38.3,9.9,1,3070452.17,10765.759765625,45.5,21,8.5,1,-8
"1031","Lanier County High School","Lanier County","Urban","H",5.89,-10.97,66.75,54.12,55.78,60.01,0,0,0,0,44.74,34.56,66.75,54.12,43.34,43.19,81.49,66.3,17.65,15.91,0,0,0,0,30,43.76,55.78,60.01,0,0,73.24,69.23,0,0,"Lanier County",11,18,4,0,33,0.666666666666667,469,14.2121212121212,60.1,27.3,100,"Lanier County",74205.28,55719.1,65510.53,38.2,38.2,23.7,1,3585219.67,10747.7099609375,39.0999984741211,13.6,8.6,1,5.89
"1032","Lanier County Middle School","Lanier County","Urban","M",-12.36,4.33,57.97,67.26,62.3,54.9,0,0,0,0,38.27,47.45,57.97,67.26,63.64,77.27,67.23,76.22,35.72,33.68,0,0,0,0,44,36.5,62.3,54.9,70,70.01,68.61,60.55,27.11,27.96,"Lanier County",11,16,6,0,33,0.666666666666667,461,13.969696969697,58.1,28,100,"Lanier County",60504.05,54068.49,68843.64,59.2,32.8,8,1,2916766.63,9414.080078125,41.7999992370605,20.1,9.1,1,-12.36
"1033","Lanier County Primary School","Lanier County","Urban","E",-8.67,-6.13,67.5,80.84,61.37,72.17,0,0,0,0,41.31,54.35,67.5,80.84,0,0,75.32,86.72,0,0,0,0,0,0,31.25,46.88,61.37,72.17,0,0,66.97,78.57,0,0,"Lanier County",16,13,4,0,33,0.515151515151515,438,13.2727272727273,61.2,27.2,100,"Lanier County",72291.64,53880.29,67634.97,48.4,43.6,8,1,3250070.56,11063.23046875,48.4000015258789,27.9,2.3,1,-8.67
"1034","Lanier Elementary School","Hall County","Urban","E",-23.43,-17.45,74.45,89.65,57,66.22,0,0,0,0,0,0,58.18,77.98,59.84,75.42,80.87,96.3,26.61,41.65,0,0,0,0,0,0,40.23,51.62,42,50,63.78,73.42,30.78,40.39,"Hall County",8,11,9,2,30,0.733333333333333,497,16.5666666666667,67,1,45.3,"Hall County",92515,64936.33,69225.67,55.7,35,9.3,1,3971842,10541.1904296875,29,15.3,8.9,1,-23.43
"1035","Lanier High School","Gwinnett County","Urban","H",-38.45,0.159999999999997,84.45,77.81,84.61,39.36,0,0,93.66,99.26,74.72,68,70.41,61.92,74.2,65.29,93.48,87.19,35.38,36.75,0,0,0,0,72.51,41.07,61.31,27.33,60.1,29.55,0,47.48,16,18.48,"Gwinnett County",32,56,22,4,114,0.719298245614035,2044,17.9298245614035,39.9,19.8,38.1,"Gwinnett County",97486.51,63007.5,74821.83,65.9,24.2,9.9,1,15718991.2,9654.9404296875,9.60000038146973,9.3,18,1,-38.45
"1036","Lanier Middle School","Gwinnett County","Urban","M",-15.59,-10.02,84.78,93.01,74.76,77.42,0,0,100,100,73.93,81.47,69.95,81.99,71.63,82.37,93.21,97.8,31.35,48.75,0,0,0,0,65.79,63.94,62.96,64.63,63.31,66.86,80.93,85.11,25.81,33.78,"Gwinnett County",26,36,19,1,82,0.682926829268293,1481,18.0609756097561,37.7,20.5,44,"Gwinnett County",92042.42,64642.34,72657.09,75.6,19.4,5,1,10927639.75,9368.4296875,16.3999996185303,7.9,21.3,1,-15.59
"1037","Lanier Primary School","Bryan County","Urban","E",-13.69,0.630000000000003,62.73,85.47,63.36,71.78,0,0,0,0,48.22,69.64,51.94,77.57,0,0,73.25,95.79,22.5,50,0,0,0,0,20.01,50,57.14,70.53,0,0,70.99,75.93,31.58,31.58,"Bryan County",20,14,3,0,37,0.45945945945946,308,8.32432432432432,64.9,21.8,59.7,"Bryan County",88031.33,57659.9,68882.54,43.5,41.9,14.6,1,3938409.65,15256.830078125,37.5,15.7,3.3,1,-13.69
"1038","Largo-Tibet Elementary School","Savannah-Chatham County","Urban","E",-25.91,-6.76,42.08,53.7,35.32,27.79,0,0,0,0,38.14,50.93,40.38,52.02,48.34,55.01,62,70,24.09,24.09,0,0,0,0,26.77,23.57,32.64,24.99,0,0,46.67,36.67,0,0,"Savannah-Chatham County",18,18,2,2,40,0.55,565,14.125,9.4,68.7,85.8,"Savannah-Chatham County",85646,56078.5,65031.73,68.8,20,11.2,1,4432322.72,12086.240234375,61.2999992370605,14.8,10.4,1,-25.91
"1039","Lassiter High School","Cobb County","Urban","H",-38.15,-100,100,100,0,61.85,0,0,100,100,93.22,90.17,83.11,88.74,93.01,99.49,100,100,74.56,77.01,0,0,0,0,0,0,0,61.85,0,50.01,0,63.75,0,63.89,"Cobb County",25,57,24,5,111,0.774774774774775,2020,18.1981981981982,69,7.3,100,"Cobb County",103426.99,70216.95,80638.09,81.5,14.1,4.4,1,15174523.05,9317.6298828125,2.5,3.7,32.5,1,-38.15
"1040","Laurel Ridge Elementary School","DeKalb County","Urban","E",-35.28,-22.69,84.2,87.51,61.51,52.23,0,0,81.26,100,57.5,61.25,52.54,60.13,63.95,74.42,100,100,39.74,42.3,0,0,56.66,56.67,53.33,50.01,52.85,41.42,47.14,31.43,79.5,73.68,62.5,45,"DeKalb County",15,23,1,0,39,0.615384615384615,369,9.46153846153846,41.5,18.4,29.5,"DeKalb County",101040.52,59757.22,80624.29,78,14.6,7.3,1,4533474.05,16926.669921875,15.8000001907349,12,12,1,-35.28
"1041","Lavonia Elementary School","Franklin County","Rural","E",1.82,-1.64,48.52,54.61,46.88,56.43,0,0,0,0,13.16,25,39.4,47.98,48.69,56.58,55.67,60.62,23.88,30.7,0,0,0,0,22.55,33.33,36.39,47.15,45.17,53.23,56.41,65.7,17.04,31.82,"Franklin County",10,20,13,0,43,0.767441860465116,620,14.4186046511628,62.1,16.3,55.2,"Franklin County",90765.5,58953.13,57079.76,24.4,45.5,30.2,1,4842276.66,10767.2001953125,43.7999992370605,17.1,3.8,0,1.82
"1042","Lawrenceville Elementary School","Gwinnett County","Urban","E",-22.51,-13.69,59.71,64.57,46.02,42.06,0,0,0,0,59.43,59.02,56.77,62.95,58.26,67.43,72,78,27,31,0,0,0,0,48.19,34.52,46.72,44.08,40.67,52,60,40,20,23.08,"Gwinnett County",21,27,4,0,52,0.596153846153846,739,14.2115384615385,6.8,48.2,76.9,"Gwinnett County",89249.62,60033.62,58432,66,24.8,9.2,1,6163119.43,11208.8095703125,50.5999984741211,25,2.5,1,-22.51
"1043","Leadership Preparatory Academy","DeKalb County","Urban","E",-11,-10.17,77.82,66.88,67.65,55.88,0,0,0,0,78.72,66.77,71.27,62.08,0,0,0,0,0,0,0,0,0,0,67.65,55.88,65.63,46.88,0,0,0,0,0,0,"DeKalb County",17,5,1,0,23,0.260869565217391,366,15.9130434782609,0,95.9,67.5,"DeKalb County",94500,54392.44,75684,79.2,17.5,3.3,1,3766290.93,10826.7197265625,37.5999984741211,1.9,11.4,1,-11
"1044","Lee County Elementary School","Lee County","Urban","E",-10.96,-13.43,86.32,94.1,72.89,83.14,0,0,80.96,100,70.45,78.04,79.18,87.41,84.61,86.54,90.59,98.38,62.02,68.36,0,0,0,0,57.84,61.74,56.4,70.1,61.11,69.45,78.05,89.59,42.38,54.23,"Lee County",16,17,12,0,45,0.644444444444444,672,14.9333333333333,66.2,23.2,50,"Lee County",79409.2,55851.21,63528.62,54.2,35.7,10.1,1,4936166.75,9240.5400390625,32.7999992370605,7.2,6.8,1,-10.96
"1045","Lee County High School","Lee County","Urban","H",-30.09,-16.49,80.14,61.91,63.65,31.82,0,0,76.67,0,60.83,48.42,67.97,53.87,0,0,87.54,69.92,57.41,45.59,0,0,0,0,34.47,0,43.97,43.33,57.89,0,71.34,0,36.53,0,"Lee County",21,40,15,3,79,0.734177215189873,1472,18.6329113924051,64.4,25.2,30.2,"Lee County",88277.93,59032.44,71274.02,59.9,30,10.2,1,10462433.67,9379.9501953125,20.5,10.3,15.5,1,-30.09
"1046","Lee County Middle School East","Lee County","Urban","M",-17.79,-8.69,77.98,74.48,69.29,56.69,0,0,88.24,100,67.63,57.2,69.99,65.3,79.17,83.34,80.29,78.09,40.91,36.37,0,0,0,0,49.16,34.61,57.15,47.67,68.97,53.45,74.51,62.44,54.49,47.02,"Lee County",19,19,9,0,47,0.595744680851064,743,15.8085106382979,66.5,21.5,42.9,"Lee County",87128.54,55092.04,67456.72,44.4,38.5,17.1,1,5368994.52,9490.669921875,30.2000007629395,10.9,10.2,1,-17.79
"1047","Lee County Middle School West","Lee County","Urban","M",-10.52,-4.25,76.07,82.42,71.82,71.9,0,0,100,100,59.27,63.5,60.43,65.82,76.2,92.87,80.65,87.48,49.35,49.34,0,0,70.46,79.55,53.75,54.31,55.35,54.51,69.45,69.45,78.11,77.56,36.84,36.85,"Lee County",24,17,12,1,54,0.555555555555556,859,15.9074074074074,61.2,25.8,41.6,"Lee County",82414.64,56271.2,58120.35,54.9,31,14.1,1,5887152.12,9159.08984375,30.5,12,10.8,1,-10.52
"1048","Lee County Primary School","Lee County","Urban","E",-16.31,-13.94,86.4,100,72.46,83.69,0,0,0,0,75.75,95.45,78.58,99.55,0,0,87.33,100,52.28,65.92,0,0,0,0,55.55,61.11,50.59,66.66,0,0,79.41,90.07,44.74,50,"Lee County",11,21,20,0,52,0.788461538461538,664,12.7692307692308,70.3,17.9,49.1,"Lee County",85225.6,58059.77,63991.64,52.1,38.3,9.6,1,5603947.22,10443.6396484375,32.9000015258789,8.4,1.4,1,-16.31
"1049","Lee Elementary School","Fulton County","Urban","E",-10.05,1.29,59.49,61.58,60.78,51.53,0,0,0,0,58.72,60.46,59.49,61.58,0,0,0,0,33.34,33.34,0,0,0,0,62.5,50.83,60.78,51.53,0,0,0,0,0,0,"Fulton County",12,19,5,0,36,0.666666666666667,476,13.2222222222222,0.6,92.9,100,"Fulton County",104582.55,64684.21,78041.66,22.7,29.8,47.5,1,4898085.02,13869.0302734375,61,14.9,4.5,1,-10.05
"1050","Lee High School 9th Grade Campus","Lee County","Urban","H",-31.77,-88.51,88.51,82.73,0,50.96,0,0,100,100,68.31,57.49,79.47,64.22,80.95,88,94.86,89.8,50.77,41.37,0,0,0,0,0,39.86,0,44.17,0,0,0,55.08,0,31.58,"Lee County",10,17,8,0,35,0.714285714285714,528,15.0857142857143,63.6,23.7,38.3,"Lee County",89253.64,58565.92,66819.61,53.2,34.1,12.7,1,3769901.49,9368.6396484375,25.8999996185303,7.9,9.3,1,-31.77
"1051","Lee Middle School","Coweta County","Urban","M",-26.1,-15.93,85.48,86.5,69.55,60.4,0,0,100,100,58.16,57.82,64.1,65.73,81.68,86.82,90.64,92.34,43.13,45.13,0,0,93.33,96.68,44.4,39.04,47.51,38.91,58.7,50.01,78.21,67.42,41.13,35.83,"Coweta County",13,26,17,0,56,0.767857142857143,984,17.5714285714286,58.2,20.6,30.1,"Coweta County",96489.33,65196.1,69125.8,69.5,22,8.5,1,6688857.49,8587.509765625,19.5,13.5,27.7,1,-26.1
"1052","Lee Street Elementary School","Clayton County","Urban","E",-18.89,-17.82,33.2,38.62,15.38,19.73,0,0,0,0,29.41,32.15,33.2,38.62,43.65,54.55,0,0,15,21.67,0,0,0,0,20.37,26.93,15.38,19.73,0,0,0,0,0,0,"Clayton County",19,12,5,2,38,0.5,562,14.7894736842105,1.4,74,100,"Clayton County",104501.01,56804.17,69738.67,39.9,24.4,35.8,1,4621624.8,11623.7099609375,69.5999984741211,13.1,6,1,-18.89
"1053","Len Lastinger Elementary School","Tift County","Rural","E",-8.91,-14.2,75.4,82.99,61.2,74.08,0,0,0,0,45.01,57.51,75.4,82.99,81.83,86.37,91.5,98,33.34,40.48,0,0,0,0,38.33,53.33,61.2,74.08,66,70,72.72,84.7,25.01,31.26,"Tift County",15,19,3,0,37,0.594594594594595,474,12.8108108108108,46,35.4,100,"Tift County",74756.65,55317.65,63914.92,32.7,39.9,27.4,1,4053140.76,11289.7998046875,48.2999992370605,8.3,13.5,0,-8.91
"1054","Lena Mae Moses Middle School","Paulding County","Urban","M",-9.62,-4.78,78.47,75.76,73.69,66.14,0,0,0,0,75.97,73.49,64.89,64.63,75.38,72.4,79.81,77.24,33.51,36.61,0,0,0,0,66.77,58.39,67.66,58.45,74.64,66.94,75.54,69.15,29.52,34.58,"Paulding County",13,21,14,0,48,0.729166666666667,846,17.625,50.4,31.7,41.7,"Paulding County",103434.53,65703.08,63632,53.1,33.8,13.1,1,6384243.1,10011.080078125,21.7000007629395,11.5,14.4,1,-9.62
"1055","Leroy Massey Elementary School","Chattooga County","Rural","E",-21.42,-18.44,58.67,56.93,40.23,35.51,0,0,0,0,56.82,50.02,57.12,56.22,53.34,60.01,59.63,58.31,57.55,53.3,0,0,0,0,23.68,25,37.69,34.42,31.49,38.89,44.17,39.07,47.09,43.47,"Chattooga County",21,25,7,0,53,0.60377358490566,800,15.0943396226415,70.1,11.1,81,"Chattooga County",85582.1,53590.8,64509.09,19.3,34.1,46.6,1,6034951.88,10308.26953125,68.1999969482422,16.1,0.3,0,-21.42
"1056","Level Creek Elementary School","Gwinnett County","Urban","E",-100,-100,100,100,0,0,0,0,100,100,100,87.51,77.95,85.31,95.84,100,100,100,68.84,72.73,0,0,0,0,0,98.33,96.25,0,0,0,0,0,59.38,69.54,"Gwinnett County",15,40,12,1,68,0.779411764705882,1043,15.3382352941176,48.2,9.3,8.3,"Gwinnett County",97327.34,66589.02,75301.67,85.6,12.8,1.6,1,8636203.33000001,10251.76953125,3.59999990463257,6.1,33.8,1,-100
