State,County_Name,Population_2010,RUCC_2013,Description,Urban/Rural
GA,Chattooga County,"26,015",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Cherokee County,"214,346",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Clarke County,"116,714",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Clay County,"3,183",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",Rural
GA,Clayton County,"259,424",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Clinch County,"6,798",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Cobb County,"688,078",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Coffee County,"42,356",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Colquitt County,"45,498",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Columbia County,"124,053",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,Cook County,"17,212",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Coweta County,"127,317",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Crawford County,"12,630",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Crisp County,"23,439",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Dade County,"16,633",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,Dawson County,"22,330",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Decatur County,"27,842",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,DeKalb County,"691,893",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Dodge County,"21,796",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Dooly County,"14,918",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Dougherty County,"94,565",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Douglas County,"132,403",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Early County,"11,008",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Echols County,"4,034",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Effingham County,"52,250",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,Elbert County,"20,166",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Emanuel County,"22,598",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Evans County,"11,000",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Fannin County,"23,682",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Fayette County,"106,567",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Floyd County,"96,317",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Forsyth County,"175,511",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Franklin County,"22,084",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Fulton County,"920,581",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Gilmer County,"28,292",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Glascock County,"3,082",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",Rural
GA,Glynn County,"79,626",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Gordon County,"55,186",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",Rural
GA,Grady County,"25,011",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Greene County,"15,994",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Gwinnett County,"805,321",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Habersham County,"43,041",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Hall County,"179,684",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Hancock County,"9,429",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Haralson County,"28,780",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Harris County,"32,024",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,Hart County,"25,213",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Heard County,"11,834",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Henry County,"203,922",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Houston County,"139,900",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Irwin County,"9,538",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Jackson County,"60,485",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",Rural
GA,Jasper County,"13,900",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Jeff Davis County,"15,068",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Jefferson County,"16,930",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Jenkins County,"8,340",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Johnson County,"9,980",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Jones County,"28,669",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Lamar County,"18,317",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Lanier County,"10,078",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Laurens County,"48,434",5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             ",Rural
GA,Lee County,"28,298",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Liberty County,"63,453",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Lincoln County,"7,996",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,Long County,"14,464",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Lowndes County,"109,233",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Lumpkin County,"29,966",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,McDuffie County,"21,875",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,McIntosh County,"14,333",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Macon County,"14,740",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Madison County,"28,120",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Marion County,"8,742",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,Meriwether County,"21,992",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Miller County,"6,125",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Mitchell County,"23,498",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Monroe County,"26,424",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Montgomery County,"9,123",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",Rural
GA,Morgan County,"17,868",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Murray County,"39,628",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Muscogee County,"189,885",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,Newton County,"99,958",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Oconee County,"32,808",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Oglethorpe County,"14,899",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Paulding County,"142,324",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Peach County,"27,695",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Pickens County,"29,431",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Pierce County,"18,758",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Pike County,"17,869",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Polk County,"41,475",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",Rural
GA,Pulaski County,"12,010",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Putnam County,"21,218",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Quitman County,"2,513",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",Rural
GA,Rabun County,"16,276",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Randolph County,"7,719",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Richmond County,"200,549",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,Rockdale County,"85,215",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Schley County,"5,010",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Screven County,"14,593",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Seminole County,"8,729",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Spalding County,"64,073",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Stephens County,"26,175",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Stewart County,"6,058",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Sumter County,"32,819",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Talbot County,"6,865",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Taliaferro County,"1,717",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Tattnall County,"25,520",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Taylor County,"8,906",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Telfair County,"16,500",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Terrell County,"9,315",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Thomas County,"44,720",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",Rural
GA,Tift County,"40,118",5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             ",Rural
GA,Toombs County,"27,223",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Towns County,"10,471",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",Rural
GA,Treutlen County,"6,885",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Troup County,"67,044",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",Rural
GA,Turner County,"8,930",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Twiggs County,"9,023",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Union County,"21,356",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",Rural
GA,Upson County,"27,153",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Walker County,"68,756",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,Walton County,"83,768",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Ware County,"36,312",5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             ",Rural
GA,Warren County,"5,834",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Washington County,"21,187",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Wayne County,"30,099",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Webster County,"2,799",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Wheeler County,"7,421",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",Rural
GA,White County,"27,144",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Whitfield County,"102,599",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Wilcox County,"9,255",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Wilkes County,"10,593",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Wilkinson County,"9,563",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Worth County,"21,679",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
